Question,Answer
Quelles sont les différences entre la paie d’un salarié fiscalement français et celle d’un fiscalement étranger ?,"Trois différences entre fiscalement français et fiscalement étranger.
Le fiscalement étranger : 
ne cotise pas à la CSG ni à la CRDS
n’est pas soumis au Prélèvement à la source mais est soumis, sauf exonération particulière, à une retenue à la source (si prestation en France)
est redevable d’une assurance maladie supplémentaire (taux variable selon si artiste ou non-artiste)."
Quelles sont les différences entre la paie d’un salarié fiscalement français et celle d’un fiscalement étranger ? Et si ce salarié me fournit un formulaire A1 ?,"Trois différences entre fiscalement français et fiscalement étranger.
Le fiscalement étranger : 
ne cotise pas à la CSG ni à la CRDS
n’est pas soumis au Prélèvement à la source mais est soumis, sauf exonération particulière, à une retenue à la source (si prestation en France)
est redevable d’une assurance maladie supplémentaire (taux variable selon si artiste ou non-artiste).

Si fiscalement étranger fournit formulaire A1 alors exonération :
de cotisations de sécurité sociale, 
de retraite complémentaire, 
de chômage, 
de taxe sur les salaires,
de taxe d’apprentissage,
de médecine du travail.

Restent dues : 

Financement du paritarisme,
AGS,
Congés spectacles (sauf si caisse identique dans le pays d’origine),
Formation continue (part principale et conventionnelle),
Retenues d’origine conventionnelle (si employeur assujetti),
Retenue à la source (sauf si exonération par convention fiscale)."
Peux-tu m’aider à paramétrer le contrat d’un apprenti ? ,"Éventuelle mise en garde si le contrat est ancien (avant le 1er mars 2025) -> appel maintenance

Si contrat apprenti débute après le 01/03/2025, suivre fiche solution « Contrat d’apprentissage – secteur privé » : 
paragraphe 3 pour le paramétrage de :
catégorie salariale
retenues
rubriques de paies
paragraphe 4 pour 
fiche contrat
première paie"
Mon formateur occasionnel va finalement travailler plus de 30 jours cette année. Comment puis-je régler cette situation ?,"Application des bases forfaitaires de cotisations possible uniquement pour formateurs occasionnels dont activité de formation ≤ 30 jours civils par année et par société.

Si activité > 30 jours civils, obligation de procéder à une régularisation des cotisations sur l’ensemble des salaires de l’exercice.

Procédure de régularisation expliquée au § 5 « Régularisation au-delà de 30 jours civils » de la fiche solution « Formateurs occasionnels ».

Une seule façon de procéder : fonction d’annulation / paie rectificative du logiciel ( décrite dans le manuel de référence de sPAIEctacle).

Conseil : faire sauvegarde du fichier avant cette manipulation."
A quoi sert la case « CDD d’usage par défaut » dans la profession ?,La coche de l’option « CDD d'usage par défaut » de la fiche profession permet de renseigner automatiquement le « Motif CDD » avec la valeur « CDD d'usage » à l’ajout d’une fiche contrat de type CDD utilisant cette profession.
Comment faire une attestation Assedic permanent (FCTU) depuis le logiciel ?,"possibilité de faire un export FCTU pour un seul ou plusieurs contrats
les contrats doivent être terminés et toutes les paies réalisées
sélection les contrats à déclarer depuis liste des contrats ou liste des paies
click sur icone « imprimante » et choix « Attestation employeur pôle emploi »
menu déroulant positionné sur « DSN Fin de contrat (FCTU) »
remarque : 3 types de fichiers possibles : réel, test ou annule et remplace
2 options dans zone « données fin de contrat » : récupération des infos renseignés dans la fiche contrat (affectation automatique) ou saisie des informations reportées alors dans tous les contrats sélectionnés
Contrôle de cohérence automatique et éventuel affichage de la liste des anomalies à corriger avant l’export
si plus d’erreurs, le fichier DSN se génère
fichier généré dans fenêtre « gestion des exports »
onglets reprenant les principales informations du fichier
possibilité d’éditer une édition de contrôle
click sur bouton « transmettre » pour un dépôt automatisé sur net-entreprises en machine to machine (MtoM)
notification lorsque l’attestation rematérialisée par pôle emploi (=France travail) est disponible
click sur « afficher les contrats » depuis notification renvoie vers la fiche contrat
attestation PDF téléchargeable dans l’onglet « contrat » de la fiche contrat
envoi possible de l’attestation vers transat via l’icône « imprimante » de la liste des contrats : « envoi des AE pôle emploi vers transat »
signature intégrée dans le PDF en cas d’envoi sur transat
nb : colonne AE de la liste des contrats permet de suivre l’état de l’attestation : 
P = DSN générée
x = AE rematérialisée (AER) reçue
Tr. = AER transmise vers transat"
Que signifient les puces de couleurs des pense-bêtes ?,"Des puces de couleurs permettent d'identifier facilement les fiches arrivées à échéance.
Vert : date d'Échéance atteinte, pas de Rappel demandé
Orange : date de Rappel atteinte
Rouge : date d'Échéance atteinte, date de Rappel non atteinte
Noir : option OK cochée"
Que signifient le X vert de la colonne État civil ?,"X vert signifie que toutes les infos d’état civil attendues sont renseignées.
Les données déclaratives obligatoires sont : 
civilité
adresse
ville
date et le lieu de naissance (pour les salariés né en France) ou le pays de naissance (si le département de naissance est égal à 99) ainsi que le département de naissance si le NIR est incomplet."
Qu’est-ce qu’une API ? sPAIEctacle propose-t-il ce genre de chose ?,"Les APIs permettent d’automatiser la communication entre sPAIEctacle et différents outils de travail
Évite de passer par des échange de fichiers « plat »
Permet d’utiliser des services tels que signature électronique, DPAE, demande d’état civil hors de spectacle
Plusieurs APIs GHS dans sPAIEctacle, en option et via l'activation d’une fonctionnalité.
API existants : Sociétés, Salariés, Contrats, Paies, Analytiques, DPAE, Signature, Demande d’état civil, Status
Les connexions APIs déjà disponibles sont pour l'instant les suivantes :
Orfeo
Eventsoft
TheGreenShot / Ooviz
Heeds
A venir :
Dièse
Badakan
TIS (Théâtre Info Système)
Pour plus de renseignements sur le fonctionnement de ces connexions, merci de contacter service commercial au 01 53 34 25 25 ou par mail à l'adresse commercial@ghs.fr."
"J’ai réalisé sur le mois de janvier 2025 une paie pour un artiste intermittent à qui j’ai payé 1 cachet à 400 euros. J’aurais en fait dû le payer 450 euros. Nous sommes le 20 mars 2025. L’échéance DSN de janvier est donc passée et je ne peux pas revenir sur ma DSN de janvier. D’autre part, j’ai déjà déposé l’AEM initiale correspondant à cette paie de janvier. Comment puis-je corriger mon erreur ? J’ai cru lire quelque part que l’AEM rectificative était possible mais je ne sais pas faire cela dans le logiciel.","reprise des éléments de la question qui permettent de dire que l’AEM rectificative est possible (pas de changement de date, de profession, hausse rémunération, stagnation du nombre de jours et de cachet) -> AEM rectificative positive
Nécessité dans sPAIEctacle de faire une paie annulante et rectificative de janvier sur mars et description de la procédure (ou renvoi vers le manuel)
Sortie de l’AEM rectificative qui doit être cochée « positive » et indiquer « 50 » dans la rémunération brute
Explications comme quoi la rectification sera déclarée dans la DSN de mars et l’AEM rectificative sera déposée avec les AEM de mars.
Mise en garde sur ajustement paiement net à payer au salarié, renvoi des documents de paie."
J’ai réalisé une paie pour un artiste intermittent à qui j’ai payé 1 cachet à 400 euros. J’aurais en fait dû le payer 450 euros. Comment corriger ?,"La réponse à cette question nécessite des éléments complémentaires.
Si DSN et AEM non-déposées, paie et AEM non envoyées au salarié, règlement non effectué -> modification de la paie
Si DSN et AEM non-déposées, paie et AEM envoyées au salarié et règlement déjà effectué  -> modification de la paie, renvoi des éléments de paie au salarié et règlement complémentaire
Si DSN et AEM déjà déposées, date butoir dépassée -> réponse et liens de la Q/9 à savoir : 
reprise des éléments de la question qui permettent de dire que l’AEM rectificative est possible (pas de changement de date, de profession, hausse rémunération, stagnation du nombre de jours et de cachet) -> AEM rectificative positive
Nécessité dans sPAIEctacle de faire une paie annulante et rectificative du mois M sur mois M+1 ou M+2 ou etc. et description de la procédure (ou renvoi vers le manuel)
Sortie de l’AEM rectificative qui doit être cochée « positive » et indiquer « 50 » dans la rémunération brute
Explications comme quoi la rectification sera déclarée dans la DSN du mois M+1 ou M+2 ou etc. et l’AEM rectificative sera déposée avec les AEM de ce même mois.
Mise en garde sur ajustement paiement net à payer au salarié, renvoi des documents de paie."
Je me suis trompé sur les dates d’un contrat et d’une paie pour un artiste intermittent. Je l’ai déclaré du 12 au 13 octobre alors que j’aurais dû le déclarer du 15 au 16 octobre. Comment corriger sachant que j’ai déjà déposé mon AEM et que la date butoir pour faire une DSN Annule et remplace d’octobre est dépassée ?,"Reprise des éléments de la question -> correction sur le mois M+1 ou M+2  ou etc. ,dans la limite de l’année civile (impossibilité pour sPAIEctacle d’annuler une paie sur un exercice suivant)
Si possible donc, annulation de la paie d’octobre sur novembre ou décembre
Impossibilité de faire AEM rectificative car changement de dates non acceptée par le cahier des charges de Pole emploi
Suite annulation de la paie, refaire contrat + nouvelle paie du 15 au 16 octobre avec date de règlement sur novembre ou décembre afin que cette nouvelle paie partent dans DSN et AEM de novembre ou décembre.
Vérification que cette nouvelle paie a le même net à payer que l’ancienne, sinon ajustement du règlement.
Suppression en ligne de l’AEM déposée en octobre (pas certain que l’IA est la ressource pour dire cela)
… ou, dans le doute, appeler la maintenance"
Je me suis trompé sur la profession d’un contrat et d’une paie intermittente. Je l’ai déclaré en tant qu’artiste musicien alors que j’aurais dû le déclarer en tant que technicien lumière. Comment corriger?,"La réponse à cette question nécessite des éléments complémentaires.
Si DSN et AEM non-déposées, paie et AEM non envoyées au salarié, règlement non effectué -> modification de la paie
Si DSN et AEM non-déposées, paie et AEM envoyé au salarié et règlement déjà effectué  -> modification de la paie, renvoi des éléments de paie au salarié et règlement complémentaire
Si DSN et AEM déjà déposées, date butoir dépassée :
correction sur le mois M+1 ou M+2  ou etc. ,dans la limite de l’année civile (impossibilité pour sPAIEctacle d’annuler une paie sur un exercice suivant)
Si possible donc, annulation de la paie d’octobre sur novembre ou décembre
Impossibilité de faire AEM rectificative car changement profession non acceptée par le cahier des charges de Pole emploi
Suite annulation de la paie, refaire contrat + nouvelle paie de technicien lumière avec date de règlement sur M+1 ou M+2, etc. afin que cette nouvelle paie partent dans DSN et AEM de M+1 ou M+2 ou etc.
Bonus : si paiement au cachet (= mode de rémunération seulement autorisé pour les artistes), ne pas oublier de remplacer « cachet » pour une rubriques d’heures (journées de X heures, heures, etc.)
Ajustement du règlement forcément car en passant d’une paie d’artiste à une paie de technicien, le net à payer sera différent (pas les même charges).
Suppression en ligne de l’AEM déposée en octobre (pas certain que l’IA est la ressource pour dire cela)
… ou, dans le doute, appeler la maintenance"
"En 2025, quel est le montant horaire du versement santé dû à un salarié en CDD, dans une entreprise dont la participation employeur à la mutuelle est de 1% du plafond mensuel ?","montant du versement santé = calcul mensuel selon la formule « montant de référence » * « coefficient de majoration » (105% ou 125% selon les cas)
définition montant de référence = contribution que l’employeur aurait versée à la mutuelle pour le salarié, sans être <  21,50 € en 2025 (ou 7,18 € en Alsace Moselle) proratisée en fonction du temps de présence du salarié sur le mois (avec max. 151,67 heures)
Calcul du montant de référence dans notre cas : 1% PMSS (Plafond Mensuel Sécurité Sociale) qui est égale à 3925 € en 2025 donc 3925 * 1% = 39,25 € (qui est bien supérieur à 21,50 € ou 7,18 € en Alsace Moselle)
Coefficient de majoration pour un CDD = 125%
Montant horaire du versement santé = 39,25 * 125% / 151,67 heures = 0,3234 centimes par heure de travail"
